partner,legal_entity
Duck Fly,"ИП ТАНЮШКИН ДМИТРИЙ ВЛАДИМИРОВИЧ,"
Dvinina-shwert,ИП ДВИНИНА ВАЛЕРИЯ АЛЕКСАНДРОВНА
Dz Putilovo,"ООО ""СКАЙ ИНВЕСТ"""
EV77,ПАО СБЕРБАНК
Eco-rent,ИП САВЧЕНКО ИРИНА АЛЕКСАНДРОВНА
Ecos 360 (не работаем),ИП Кутищева Любовь Викторовна
Efoil Fly Guru (не работаем),ГОЛОВКО НАТАЛЬЯ ЛЕОНИДОВНА
Efoil Fly Guru (не работаем),ИП ГОЛОВКО МИРОН ОЛЕГОВИЧ
El Capitan (закрылись),"ООО ""СКАЛОДРОМ"""
FLYARENA,"ООО ""ДАБЛФЛАЙ"""
FLYSTATION,"ООО ""АЭРОДИНАМИКА"""
Feedback,"ООО ""ФИДБЭК КОРПОРЕЙШН"""
Fencinggroup,"ООО ""МАФИ"""
Figaro,ИП МИНАЕВА АНАСТАСИЯ ОЛЕГОВНА
Fly Zone - не записываем,"ООО ""ФЛАЙТЗОН"""
Foilrent,ИП Чмутов Михаил Александрович
Forest Glamp,ИП Стукало Денис Григорьевич
Freezone (волна),"ООО ""М2 ФЛАЙ"""
Freezone (полет),"ООО ""КОМПАНИЯ РЕАЛФЛАЙ"""
Fresh Stretching,БЕЛЬЦОВА КРИСТИНА КАМИЛЕВНА
FriendsBoat - не работаем,Елизавета С.
Ginza Project,"ООО ""КОМПАНИЯ Н33"""
Ginza Project,"У каждого ресторана свой номер для перевода, смотреть в закрепленном сообщении"
Golden Horses (Токсово),ИП ПЕШКОВА ЕКАТЕРИНА КОНСТАНТИНОВНА
Grand Float,ИП МАНЕВИЧ АЛЕНА ЕВГЕНЬЕВНА
Gravitycider,НИКИФОРОВА ТАТЬЯНА АЛЕКСЕЕВНА
HandyClass (МСК),ИП ЛЯУДАНСКАЯ ЛЮБОВЬ ВИТАЛЬЕВНА
HandyClass (СПб) (не работаем - см. комм),ИП ЛЯУДАНСКАЯ ЛЮБОВЬ ВИТАЛЬЕВНА
Heattehnik,"ООО ""Соверен-Сервис плюс"""
IRis (Айрис) МСК,АЛЬ-ДААС АМИР МАХМУДОВИЧ
IRis (Айрис) СПб,ЕРОШЕНКО ДМИТРИЙ АЛЕКСАНДРОВИЧ
IslandBoats,ИП ГУБИН ЮРИЙ ЮРЬЕВИЧ
IslandBoats,ИП СИЧКАРЕВ АЛЕКСАНДР ВИКТОРОВИЧ
Jean Vallon,"ООО ""ФРЕНЧ КУФФЮР"""
KAYAKMOSCOW,ИП РЫБНИКОВ ИВАН ГРИГОРЬЕВИЧ
Kite Piter,ИП ЧЕТВЕРИКОВ ИВАН ОЛЕГОВИЧ
Lab of Art,"ООО ""ЛАБ АРТ"""
LapTime,ИП КУДРИНА ИННА АНДРЕЕВНА
Let's drift,ИП ГОРБАТОВ АЛЕКСЕЙ СЕРГЕЕВИЧ
Lime Stone,"ООО ""ЛАЙМСТОУН"""
LookBox (стилист),ИП ВЕЛЬБ ДЕНИС ВЛАДИСЛАВОВИЧ
Lua Clinic,"ООО ""ЛУА"""
MOTO RU,ИП Ермолаева Екатерина Сергеевна
Magichands,ИП РВАЧЕВА СВЕТЛАНА ИГОРЕВНА
Makeup Kitchen - не сотрудничаем,"ООО ""ЛИПЛАБ"""
"MetaRacing (не работаем, только старые сертификаты)",ИП АРСЕНЬЕВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ
Molecular Meal,ИП НИМЧЕНКО ВЛАДИМИР ВЛАДИМИРОВИЧ
Moscow Improv Club (MIC),ИП ЯКУПОВА ЛЮДМИЛА НИКАНДРОВНА
My Tree Camp,"ООО ""МАЙТРИ"""
My Tree Camp,"ООО ""ТУРИНДУСТРИЯ"""
Nekolesnik (Неколесник) (не работает),КОЛЕСНИК ЕВГЕНИЙ АНДРЕЕВИЧ
Norway Park,Norway Park Barvikha Odintsovo RUS
Norway Park,Norway Park Krasnogors g Krasnogorsk RUS
Norway Park,Norway Park Orekh Massiv Orehov RUS
OLFACTORY LAB (закрыты),ИП НЕСТЕРОВА ВАЛЕРИЯ АЛЕКСАНДРОВНА
Ochey Мск (неактуально),ИП ХОБНЯ КРИСТИНА ЮРЬЕВНА
Ochey СПБ и Мск (актуально),ИП ХОБНЯ КРИСТИНА ЮРЬЕВНА
Osteria Amici/TAO,"ООО ""МЕГАРЕСТ"""
Ostrov Camp - более не работает,ИП ЗИМИНА КАРИНА ИГОРЕВНА
Padel Point (Падел Поинт),ИП ПЕРЕПЕЛИЦЫН МАКСИМ НИКОЛАЕВИЧ
PitPiter,ИП ПАВЛОВ АЛЕКСАНДР АНТОНОВИЧ
PiterGame,"ООО ""АЛЬФА"""
PiterGame,"ООО ""СТАРТ"""
Portal VR (посещение VR-парка) (закрылись),ИП ЕГОРКИН ИЛЬЯ ИГОРЕВИЧ
Primo Karting,"ООО ""ТРАЕКТОРИЯ"""
Prive (катер без капитана) (не работаем),ИП Мальсагов Богдан Русланович
Pro-kvad24.ru,ИП МИРОНОВА АННА НИКОЛАЕВНА
Prosto Leti,ИП КУЧЕРЕНКО АЛЕКСЕЙ ВИКТОРОВИЧ
QuadRider,ИП ЦИЦИН ЕВГЕНИЙ БОРИСОВИЧ
Роупджампинг Москва JET,ИП ЩЕРБАЧЕВА НАТАЛИЯ АНАТОЛЬЕВНА
